"prov_or_terr","health_region","date","cases","cum_cases","time_since_first"
"Manitoba","Winnipeg",2022-03-15,56,72562,733
"Manitoba","Winnipeg",2022-03-16,127,72689,734
"Manitoba","Winnipeg",2022-03-17,88,72777,735
"Manitoba","Winnipeg",2022-03-18,87,72864,736
"Manitoba","Winnipeg",2022-03-21,150,73014,739
"Manitoba","Winnipeg",2022-03-22,46,73060,740
"Manitoba","Winnipeg",2022-03-23,75,73135,741
"Manitoba","Winnipeg",2022-03-24,94,73229,742
"Manitoba","Winnipeg",2022-03-25,100,73329,743
"Manitoba","Winnipeg",2022-03-27,144,73473,745
"Manitoba","Winnipeg",2022-04-03,669,74142,752
"Manitoba","Winnipeg",2022-04-10,833,74975,759
"Manitoba","Winnipeg",2022-04-17,591,75566,766
"Manitoba","Winnipeg",2022-04-24,760,76326,773
